ID     Step     MaxR |    avgR     stdR | avgS stdS |    objC     etc.
Act FileNotFound when load_model: output/2022-04-27_16-25-48
Critic FileNotFound when load_model: output/2022-04-27_16-25-48
pygame 2.0.1 (SDL 2.0.14, Python 3.6.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
 O  3.03e+06    50.50 |   16.05    67.45 |  125   10 |    0.17     0.01    -0.13     9.56
 O  3.04e+06    50.50 |   -0.20     0.60 |  127    0 |    0.09     0.02    -0.14     0.06
 O  3.05e+06    50.50 |    0.00     0.00 |  127    0 |    0.12     0.01    -0.12     9.52
 O  3.06e+06    50.50 |   -0.10     0.44 |  127    0 |    0.13    -0.02    -0.19     9.31
 O  3.08e+06    50.50 |   -0.35     1.15 |  127    0 |    0.09     0.04    -0.10     0.22
 O  3.09e+06    50.50 |    0.30     1.19 |  127    0 |    0.09    -0.07    -0.07    -0.19
 O  3.10e+06    50.50 |   -0.25     1.09 |  127    0 |    0.07    -0.06    -0.13    -0.12
 O  3.11e+06    50.50 |   -0.50     2.18 |  127    0 |    0.08     0.06    -0.12     0.25
 O  3.13e+06    50.50 |   -0.20     0.60 |  127    0 |    0.12    -0.00    -0.13     0.09
 O  3.14e+06    50.50 |   -0.15     2.54 |  125    7 |    0.10     0.07    -0.15     0.16
